[21/08/2024][19:15:52]  | -system start log[21/08/2024][19:18:22]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:18:22]  | -system -Write Ranking[21/08/2024][19:18:22]  | -system -Write Ranking[21/08/2024][19:20:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:20:52]  | -system -Write Ranking[21/08/2024][19:20:52]  | -system -Write Ranking[21/08/2024][19:23:22]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:23:22]  | -system -Write Ranking[21/08/2024][19:23:22]  | -system -Write Ranking[21/08/2024][19:25:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:25:52]  | -system -Write Ranking[21/08/2024][19:25:52]  | -system -Write Ranking[21/08/2024][19:28:22]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:28:22]  | -system -Write Ranking[21/08/2024][19:28:22]  | -system -Write Ranking[21/08/2024][19:30:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:30:52]  | -system -Write Ranking[21/08/2024][19:30:52]  | -system -Write Ranking[21/08/2024][19:33:22]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:33:22]  | -system -Write Ranking[21/08/2024][19:33:22]  | -system -Write Ranking[21/08/2024][19:35:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:35:52]  | -system -Write Ranking[21/08/2024][19:35:52]  | -system -Write Ranking[21/08/2024][19:38:22]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:38:22]  | -system -Write Ranking[21/08/2024][19:38:22]  | -system -Write Ranking[21/08/2024][19:40:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:40:52]  | -system -Write Ranking[21/08/2024][19:40:52]  | -system -Write Ranking[21/08/2024][19:43:22]  | -system Read 5 ranking entries in 0.16 seconds.
[21/08/2024][19:43:22]  | -system -Write Ranking[21/08/2024][19:43:22]  | -system -Write Ranking[21/08/2024][19:45:52]  | -system Read 5 ranking entries in 0.0 seconds.
[21/08/2024][19:45:52]  | -system -Write Ranking[21/08/2024][19:45:52]  | -system -Write Ranking[21/08/2024][19:48:22]  | -system Read 5 ranking entries in 0.0 seconds.
