[24/06/2025][11:51:44]  | -system start log[24/06/2025][11:54:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][11:54:14]  | -system -Write Ranking[24/06/2025][11:54:14]  | -system -Write Ranking[24/06/2025][11:56:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][11:56:44]  | -system -Write Ranking[24/06/2025][11:56:44]  | -system -Write Ranking[24/06/2025][11:59:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][11:59:14]  | -system -Write Ranking[24/06/2025][11:59:14]  | -system -Write Ranking[24/06/2025][12:01:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:01:44]  | -system -Write Ranking[24/06/2025][12:01:44]  | -system -Write Ranking[24/06/2025][12:04:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:04:14]  | -system -Write Ranking[24/06/2025][12:04:14]  | -system -Write Ranking[24/06/2025][12:06:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:06:44]  | -system -Write Ranking[24/06/2025][12:06:44]  | -system -Write Ranking[24/06/2025][12:09:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:09:14]  | -system -Write Ranking[24/06/2025][12:09:14]  | -system -Write Ranking[24/06/2025][12:11:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:11:44]  | -system -Write Ranking[24/06/2025][12:11:44]  | -system -Write Ranking[24/06/2025][12:14:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:14:14]  | -system -Write Ranking[24/06/2025][12:14:14]  | -system -Write Ranking[24/06/2025][12:16:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:16:44]  | -system -Write Ranking[24/06/2025][12:16:44]  | -system -Write Ranking[24/06/2025][12:19:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:19:14]  | -system -Write Ranking[24/06/2025][12:19:14]  | -system -Write Ranking[24/06/2025][12:21:44]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:21:44]  | -system -Write Ranking[24/06/2025][12:21:44]  | -system -Write Ranking[24/06/2025][12:24:14]  | -system Read 0 ranking entries in 0.0 seconds.
[24/06/2025][12:24:14]  | -system -Write Ranking[24/06/2025][12:24:14]  | -system -Write Ranking[24/06/2025][12:26:31]  | -system clo server fd 0
